nombre_entidad,ciudad,departamento
GOBERNACION DEL QUINDIO ARMENIA,ARMENIA,Quindío
ALCALDIA MUNICIPIO DE CALARCA,CALARCA,Quindío
MUNICIPIO DE QUIMBAYA,QUIMBAYA,Quindío
MUNICIPIO DE ARMENIA QUINDIO,ARMENIA,Quindío
INSTITUTO MUNICIPAL DEL DEPORTE Y LA RECREACION DE ARMENIA - SITIO OFICIAL,ARMENIA,Quindío
ALCALDIA MUNICIPAL LA TEBAIDA QUINDIO,LA TEBAIDA,Quindío
ESE HOSPITAL DEPARTAMENTAL UNIVERSITARIO DEL QUINDÍO SAN JUAN DE DIOS,ARMENIA,Quindío
CENTRAL ADMINISTRATIVA Y CONTABLE - CENAC - ARMENIA,ARMENIA,Quindío
SENA REGIONAL QUINDIO GRUPO DE APOYO ADMINISTRATIVO MIXTO,ARMENIA,Quindío
MUNICIPIO DE SALENTO,SALENTO,Quindío
ALCALDIA MUNICIPIO DE CIRCASIA QUINDIO,CIRCASIA,Quindío
MUNICIPIO DE MONTENEGRO--,MONTENEGRO,Quindío
EMPRESA DE SERVICIOS PUBLICOS DE CORDOBA QUINDIO E.S.P. S.A.S,CÓRDOBA,Quindío
CORPORACION DE CULTURA Y TURISMO DE ARMENIA,ARMENIA,Quindío
REGIÓN ADMINISTRATIVA Y DE PLANIFICACIÓN RAP - EJE CAFETERO,ARMENIA,Quindío
INDEPORTES QUINDIO,ARMENIA,Quindío
CORPORACION AUTONOMA REGIONAL DEL QUINDIO,ARMENIA,Quindío
PERSONERIA MUNICIPAL DE ARMENIA,ARMENIA,Quindío
CONTRALORIA MUNICIPAL DE ARMENIA QUINDIO,ARMENIA,Quindío
ALCALDIA DE FILANDIA,FILANDIA,Quindío
CENTRAL ADMINISTRATIVA Y CONTABLE REGIONAL ARMENIA-SANIDAD,ARMENIA,Quindío
EPMSC ARMENIA - INPEC,ARMENIA,Quindío
CONCEJO MUNICIPAL DE ARMENIA,ARMENIA,Quindío
PERSONERIA MUNICIPAL DE CALARCA QUINDIO,CALARCA,Quindío
ICBF REGIONAL QUINDIO,ARMENIA,Quindío
MUNICIPIO DE PIJAO,PIJAO,Quindío
RED SALUD ARMENIA EMPRESA SOCIAL DEL ESTADO E.S.E.,ARMENIA,Quindío
INSTITUTO DEPARTAMENTAL DE TRANSITO DEL QUINDIO,CIRCASIA,Quindío
CONTRALORIA GENERAL DEL QUINDIO,ARMENIA,Quindío
MUNICIPIO DE BUENAVISTA (QUINDIO),BUENAVISTA,Quindío
EMPRESA DE DESARROLLO URBANO DE ARMENIA EDUA,ARMENIA,Quindío
ALCALDÍA MUNICIPIO DE CÓRDOBA - QUINDIO,CÓRDOBA,Quindío
RAMA JUDICIAL  DIRECCIÓN SECCIONAL DE ADMINISTRACIÓN JUDICIAL DE ARMENIA,ARMENIA,Quindío
MINISTERIO DEL TRABAJO - DIRECCION TERRITORIAL QUINDIO,ARMENIA,Quindío
RECLUSION DE MUJERES DE ARMENIA,ARMENIA,Quindío
ASAMBLEA DEPARTAMENTAL DEL QUINDÍO,ARMENIA,Quindío
PERSONERIA MUNICIPAL DE CIRCASIA,CIRCASIA,Quindío
DEPARTAMENTO DE POLICIA QUINDIO - UNIDAD PRESTADORA DE SALUD QUINDIO,NO DEFINIDO,Quindío
EMPRESAS PÚBLICAS DEL QUINDIO SA ESP,ARMENIA,Quindío
E.S.E HOSPITAL LA MISERICORDIA DE CALARCA-QUINDIO,NO DEFINIDO,Quindío
CONCEJO MUNICIPAL DE QUIMBAYA QUINDIO,QUIMBAYA,Quindío
CONCEJO MUNICIPAL DE CIRCASIA,CIRCASIA,Quindío
ESE HOSPITAL MENTAL DE FILANDIA,NO DEFINIDO,Quindío
IMPULSA MAS S.A.S,QUIMBAYA,Quindío
CONCEJO MUNICIPAL DE MONTENEGRO - QUINDIO,MONTENEGRO,Quindío
INSTITUTO COLOMBIANO AGROPECUARIO - SECCIONAL QUINDÍO,ARMENIA,Quindío
PERSONERIA MUNICIPAL DE LA TEBAIDA,LA TEBAIDA,Quindío
CONCEJO MUNICIPAL DE CALARCA,CALARCA,Quindío
PERSONERIA MUNICIPAL DE MONTENEGRO,MONTENEGRO,Quindío
CONCEJO MUNICIPAL DE LA TEBAIDA QUINDÍO,LA TEBAIDA,Quindío
ALCALDIA MUNICIPAL GENOVA QUINDIO,GÉNOVA,Quindío
CONCEJO MUNICIPAL DE PIJAO QUINDIO,PIJAO,Quindío
CONCEJO MUNICIPAL DE CORDOBA QUINDIO,CÓRDOBA,Quindío
PERSONERIA MUNICIPAL DE FILANDIA,FILANDIA,Quindío
PERSONERIA MUNICIPIO DE QUIMBAYA,QUIMBAYA,Quindío
PERSONERÍA MUNICIPAL DE PIJAO,PIJAO,Quindío
PERSONERÍA SALENTO,SALENTO,Quindío
CONCEJO MUNICIPAL SALENTO.,SALENTO,Quindío
HOSPITAL SAN VICENTE DE PAUL EMPRESA SOCIAL DEL ESTADO,NO DEFINIDO,Quindío
EMPRESA DE FOMENTO DE VIVIENDA DE ARMENIA. FOMVIVIENDA,ARMENIA,Quindío
"ESE HOSPITAL SANTA ANA DE PIJAO, QUINDÍO",PIJAO,Quindío
PROYECTA-,ARMENIA,Quindío
